,Ant,Node,A Priori Status,Auto Metrics Flags,Flag Fraction Before Redcal,Flagged By Redcal chi^2 Fraction,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Median chi^2 Per Antenna (Jee),Median chi^2 Per Antenna (Jnn)
0,0,0,digital_maintenance,1.0,1.0,0.0,24.80609573372499,34.86549822396227,32.71783777361716,36.6208046446384,4.249180266233017,7.1351757130137505,178.26029722722362,271.43007491763694,0.0,1.0251968204975128
1,1,0,digital_maintenance,1.0,1.0,0.0,,169.40964990110734,inf,86.5067361928174,,28.799737331830674,,1004.5292141931366,0.0,0.0
2,2,0,RF_maintenance,1.0,1.0,0.0,51.91966137337767,27.43259237760044,42.08754652967056,33.11578710844248,12.641930891226764,6.372858506413853,418.499623098513,222.47358379592774,0.0,0.0
3,3,1,digital_ok,0.0,1.0,0.0,1.2669914231144086,0.8983009988218047,1.4934039610826717,0.6921578813871003,0.4091249582264948,0.21964402405539138,1.6740455695652348,0.9877456151280348,0.0,0.0
4,4,1,RF_maintenance,0.0,1.0,0.0,-0.8190696132716105,-0.9190815680381179,-0.6000542831555786,-0.45071625867375986,0.15080750340644697,0.2878573261311808,0.6628337425006265,0.8336590631472837,0.0,0.0
5,5,1,digital_ok,1.0,1.0,0.0,13.951714416362986,5.744887743686238,26.518282463064544,4.27884543896885,14.776683099014498,2.2007844459188193,16.3155840520488,4.392788644279047,0.0,0.0
6,11,0,digital_maintenance,1.0,1.0,0.0,35.218170911694756,61.89268050316235,35.28389815026303,38.043644892034784,5.4240970500590535,5.562784906965256,216.28689702834836,251.5270311442205,0.0,0.0
7,12,0,RF_maintenance,1.0,1.0,0.0,48.37280825024558,39.03831587429051,36.63466700539058,36.40214580349527,3.9651880570778433,5.851210591743848,208.83401303404636,221.38572929500103,0.0,0.0
8,13,0,digital_maintenance,1.0,1.0,0.0,,97.75561891983519,inf,49.58873502138932,,7.093617338369906,,336.18600805751873,0.0,5.0537649216124556e-17
9,14,0,digital_maintenance,1.0,1.0,0.0,36.57575366471162,26.14987626216246,37.4237206581547,32.64929745887833,6.201860990663816,5.67276849648627,264.8126371943746,189.93040651585787,1.4828670799432952e-17,1.7193879610103802e-17
10,15,1,RF_maintenance,0.0,1.0,0.0,0.08001165111098017,-0.7501723157746422,1.6491480537312988,0.20202408338548525,2.424479534851414,1.004861226157251,1.769141631373738,2.4291319171232564,0.0,0.0
11,16,1,RF_maintenance,0.0,1.0,0.0,-0.7406755259836463,0.01820460504417265,-0.0030197211056614786,0.9744921801652874,0.48980833971091975,1.3641302173781513,0.9327279964134308,1.2608404602867278,0.0,0.0
12,17,1,digital_ok,1.0,1.0,0.0,16.149247917041848,2.235034671379169,28.32895519230633,4.095930357206823,18.416932461928006,2.53335585477496,20.92359890022047,3.8236729863874594,0.0,0.0
13,18,1,digital_ok,1.0,1.0,0.0,4.720198117247153,0.7926881620721579,13.84064618492067,1.571711308555137,-0.5260907664660134,-0.014422290557496784,2.5374079950915913,-1.0684009824099427,-1.0432235829010815e-17,-7.476219345601467e-17
14,23,0,RF_maintenance,1.0,1.0,0.0,55.91559738405371,45.736032658901614,43.07243579451848,39.59272179618695,9.066133979158838,7.331396466562403,392.76794828259284,294.94885294276474,2.6300978094864108e-17,2.546479486211436e-17
15,24,0,RF_maintenance,1.0,1.0,0.0,,171.04048145332462,inf,84.70368767242007,,8.313907172482166,,370.1145327261463,0.0,0.0
16,25,0,digital_maintenance,1.0,1.0,0.0,163.22030258489616,162.07846320263164,63.750621280306916,68.16888646928793,4.989803120156617,4.688747483481396,156.7489236541638,108.01570850132593,0.0,0.0
17,26,0,digital_maintenance,1.0,1.0,0.0,171.60790221383854,165.30274524142956,inf,83.904479480443,2.987717711063867,4.240535563081706,36.37474981037966,91.70925947884365,0.0,0.0
18,27,1,RF_maintenance,0.0,1.0,0.0,-0.39717378807619075,-0.3546836151547512,-0.012565084406351871,0.04745236108190456,-1.0481106134254943,-0.9784086805833421,-0.3298540807129554,-0.5012473023429493,-2.0909184492442878e-17,-1.6783049191941072e-17
19,28,1,RF_maintenance,1.0,1.0,0.0,59.72928340875659,8.203544154716596,43.57364161768437,9.743762645070383,39.08178325060382,2.5865957637540187,172.03390429418423,26.28011586908397,0.0,0.0
20,29,1,digital_ok,0.0,1.0,0.0,-0.9049436521575869,-0.578823808696782,-0.15915007851232588,0.26787282731388784,-1.1956854377793724,-1.180655671647258,-0.876333066908524,-0.584824751327584,0.0,0.0
21,30,1,RF_maintenance,1.0,1.0,0.0,8.654118927305019,0.7251862840865417,17.414933877041268,3.4378271888528835,1.9484127396105189,2.495783454601817,2.17167122528223,2.1747998178240087,1.6708958624474697e-17,8.334273647337424e-17
22,39,0,digital_maintenance,1.0,1.0,0.0,,173.1049938105864,inf,inf,,2.628027222657738,,1.9998647010400024,0.0,0.0
23,45,5,RF_maintenance,1.0,1.0,0.0,-0.18232028455761948,-0.3130182767851882,-0.8951702480388348,-0.77813819478991,-1.0900100955566812,-0.4096405655822718,11.457726652700382,1.7067592492526023,-2.938138587471209e-17,-4.735466202405132e-16
24,46,5,digital_ok,1.0,1.0,0.0,-0.08005700580853498,0.11659200383360024,-0.025129793574073907,-1.0358922096173333,0.4067622672443186,-1.03586498263831,0.1747734035795532,11.13259996881187,3.197276038352905e-14,2.1198034155783937e-14
25,73,5,digital_ok,1.0,1.0,0.0,29.826830878759885,2.5930387292797,36.670116384734726,2.3260640078525885,31.01409845989463,1.7391297147034164,47.618814460458594,2.37003695178049,1.3341299295425415,15.611484050750732
26,81,7,RF_maintenance,1.0,1.0,0.0,1.5970589188130015,0.8268420102482056,0.08480340465919399,4.764428417764302,-0.6330673043876985,2.16268283024733,2.430525185154144,3.9123536479510213,9.619019985198975,7.1959956884384155
27,82,7,RF_maintenance,0.0,1.0,0.0,-0.45196561968473575,0.9247879865981186,-0.9491015509887851,0.7758312864817861,-0.5392797670633036,-0.37877076529006476,0.22229387387840957,0.4752014279554787,15.464715957641602,17.03765296936035
28,83,7,digital_ok,1.0,1.0,0.0,2.3632656699739907,1.4692731988715597,17.05436853367912,1.8028919202267313,2.3817992221598376,1.1755043287281928,9.323972821793687,3.6997325716765084,1.3038738071918488,3.640285074710846
29,84,8,RF_maintenance,1.0,1.0,0.0,40.65701047734823,2.9479646883573607,8.580544751146027,2.7772273574781368,1.815145786704074,4.65201418630621,0.3177699549706112,3.0265603462588864,1.0888054370880127,1.1060353517532349
30,85,8,digital_ok,1.0,1.0,0.0,0.277272662798602,0.11079910243412501,0.34785930669518017,0.3449865081401662,-0.3300986666363506,0.7991849935368859,1.973597279522473,14.12533079019982,1.1461135745048523,1.1318469941616058
31,86,8,RF_maintenance,1.0,1.0,0.0,3.6117777957264443,2.08212472873913,20.255391654220862,1.9126160100998852,4.258317216756869,0.2969349861136727,5.79795367355471,2.468446157765052,1.1905595362186432,1.5001160204410553
32,87,8,digital_ok,0.0,1.0,0.0,0.25502430481048777,0.04133042438580026,0.602591157570198,0.0030197211056614786,-1.130021318093004,-0.858866050399138,-0.969290488537101,-0.6028648922361849,1.4518318176269531,1.3990630805492401
33,88,9,digital_ok,1.0,1.0,0.0,59.56919494905983,3.356070898389827,46.603097964317094,5.003608454600899,37.55033270615013,1.1225746018708562,155.34140147825659,6.9759659280965645,1.654220074415207,61.89700126647949
34,89,9,RF_maintenance,1.0,1.0,0.0,153.2820426340841,3.786221331682125,66.18266045058424,7.27493513628399,35.2499903674677,2.2239040886459867,397.722842852579,5.880033944254166,1.459174931049347,752.7408447265625
35,90,9,RF_maintenance,0.0,1.0,0.0,0.3858845883183854,1.0700754335990454,-1.0477087316878364,-0.7340966733698918,-0.8593834324385794,-0.6483009792912908,0.945378839022894,0.7761768143091184,85.8051528930664,784.8090972900391
36,91,9,digital_ok,1.0,1.0,0.0,18.8363236490768,2.2123718350854236,30.343993658001683,3.137220018530381,19.27728458183211,1.3748707978580237,23.285319944099346,2.5674732918166567,1534.5824279785156,468.7929992675781
37,92,10,digital_ok,1.0,1.0,0.0,6.974352998306332,2.523032467158162,16.773717388998527,2.245833970006846,1.0803428696354043,1.289009840294473,1.143871738689549,4.319528672444034,1.3041298389434814,4.6577006578445435
38,93,10,RF_maintenance,0.0,1.0,0.0,-0.3619254308437674,-0.0012123085941955353,-0.1491235488024029,1.5003821474890744,0.08707306403155937,1.590000794035376,2.015703537475188,3.130935540637293,1.051362305879593,0.6404098272323608
39,94,10,digital_ok,1.0,1.0,0.0,18.187248693464355,4.517433196435978,29.65989343960325,3.6553155304809133,19.905346180342743,1.6094813845268212,26.145014416679686,6.233488437829003,1.1393748819828033,1.90394926071167
40,98,7,digital_ok,1.0,1.0,0.0,1.850619730234808,0.9899581816608987,1.598065217996474,4.305404867283623,0.949836552222938,1.437767072599565,1.7193770127027432,4.597279557243682,16.421197414398193,9.752597570419312
41,99,7,digital_ok,1.0,1.0,0.0,11.632320763033752,3.788850552584597,15.250192964499627,4.258963612763318,2.120210574346578,1.7390778732667285,0.7878410003894405,4.1271699335270196,1.715887188911438,11.740584373474121
42,100,7,digital_ok,0.0,0.0,0.0,0.4814567039375499,-0.1217401250652346,-0.5619317016941244,0.29799271977796044,-1.0316957380905758,0.0013529665552918203,0.4285000895545842,2.9484569191643852,0.9915130585432053,1.6119133234024048
43,101,8,RF_maintenance,0.0,1.0,0.0,-0.4116551572173164,-1.0733797360778463,-0.6736485153575114,-0.9014035003935077,-0.34961154710694153,-0.8151175749654214,-0.008493349330306176,0.6159113517952034,1.2467281222343445,1.2469452917575836
44,102,8,digital_ok,1.0,1.0,0.0,-0.8082837280614465,0.07599177260894896,-0.8339022112669313,0.4667063087543403,0.1371303650494298,1.1818389860981624,6.29484666263475,0.8105057702729633,1.2309653162956238,1.211534023284912
45,103,8,digital_ok,1.0,1.0,0.0,34.99247476195315,2.589875559367091,38.806839653731515,6.066763580694002,33.663230931550835,1.1190256482952714,72.07166638489785,3.0238220007927348,1.1581779420375824,1.375449150800705
46,104,8,digital_ok,0.0,1.0,0.0,0.7613456890510831,1.3338659432669118,0.6963061138161455,1.105978432725242,-0.8162713960017308,-0.4120770384545332,-1.303476016534563,-1.6723869388079002,1.402196079492569,1.273390680551529
47,105,9,digital_ok,0.0,0.0,0.0,1.4542889598789597,0.1532995868867111,0.5558615652050357,0.8838728570763612,0.6667044779909694,-0.6140932628571595,0.4020307393588745,-1.3981133489248307,0.7176555842161179,1.6102917194366455
48,107,9,digital_ok,0.0,0.0,0.0,2.275255974486227,2.5891651780465907,1.9623299350648613,2.19746110743601,0.41613339550135525,0.6822770409622211,0.008493349330306176,-0.4099610554944992,3.9421138763427734,3.819987177848816
49,108,9,digital_ok,0.0,0.0,0.0,-0.5848352609397679,-0.3042500991331383,0.009202709719833712,0.3218991521864967,-0.06692108726472779,0.2522803355739273,0.2862524444643301,0.29020431993832374,4.7375441789627075,4.832091808319092
