,Ant,Node,A Priori Status,Auto Metrics Flags,Flag Fraction Before Redcal,Flagged By Redcal chi^2 Fraction,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Median chi^2 Per Antenna (Jee),Median chi^2 Per Antenna (Jnn)
0,0,0,RF_maintenance,1.0,1.0,0.0,37.54719092078541,78.94032856798499,35.912526650617814,45.463630353545646,8.168045845462938,17.39886280230413,505.86093227525345,857.2305378982762,1.2553001642227173,1.2467700242996216
1,1,0,RF_maintenance,1.0,1.0,0.0,40.60088718710942,65.91833711031279,38.89117578504393,44.54901708138355,12.434864360623568,23.209237849331906,624.8068954008171,922.4192586818665,1.285456359386444,1.2672232389450073
2,2,0,RF_maintenance,1.0,1.0,0.0,26.611499078956747,46.310936122660046,31.797934653623937,33.41739075451284,5.075648949519187,5.700074928375199,337.63042831424724,299.41217818282865,1.290617048740387,1.2789537608623505
3,3,1,digital_ok,0.0,0.0,0.0,0.22765274022699997,-1.0732875656603302,0.45887146429068115,-0.34658983686163636,0.45726559270697265,-1.0214475980032682,0.12886563752177624,-0.541203261050402,0.3743539825081825,0.35328494757413864
4,4,1,RF_maintenance,0.0,1.0,0.0,0.8610744857995725,2.8343205763992203,2.079247964901862,0.3824393109026117,0.8227008837704254,-0.32017871391249525,0.5457445055711361,0.6329207431631811,4.520129561424255,5.324191927909851
5,5,1,digital_ok,0.0,0.0,0.0,0.061508176990514016,-0.6797833385884602,0.6408627484511569,-0.08034632755012827,0.9276180718865553,-0.8717627457249381,1.572511502112962,-0.637763041896081,0.3332890048623085,0.2604532837867737
6,11,0,RF_maintenance,1.0,1.0,0.0,174.68221587697323,58.2357837070989,47.337385660031806,36.530765359621114,9.343448815228511,7.194802997907923,540.8804089115005,453.13984734510984,1.1551850736141205,1.1635788679122925
7,12,0,RF_maintenance,1.0,1.0,0.0,55.081855184512946,46.67018237249115,36.11915536041325,36.58075829271572,7.675817576399213,11.481317369569696,485.97252654304725,529.6894258547067,1.2651993036270142,1.2617999613285065
8,13,0,RF_maintenance,1.0,1.0,0.0,54.82578362218072,79.22555712752855,39.418104960537526,48.25997662338583,9.07735388047156,13.122631560156167,531.7525035195099,824.4669463647172,1.1584070324897766,1.151191920042038
9,14,0,RF_maintenance,1.0,1.0,0.0,48.273822490875304,68.703133675347,34.4725127718363,41.34578452864858,7.073659716087773,17.88944770127544,404.6373328908141,874.0464963915767,1.182277888059616,1.1786459684371948
10,15,1,RF_maintenance,0.0,1.0,0.0,-0.5486067504336981,-0.08838109320712272,0.5228167385958821,-0.8229420862510529,0.406390658562123,-0.5600699934671826,0.0876136626863714,0.4197384983390299,4.192888617515564,4.706688165664673
11,16,1,RF_maintenance,1.0,1.0,0.0,1.198223711832604,-1.41667105586802,6.018216072727226,-0.6519511215190237,2.5173007477138776,0.2204837082423282,1.651991202530313,0.758706523931097,5.015877842903137,5.015023708343506
12,17,1,digital_ok,0.0,0.0,0.0,-0.2796203285652771,-0.5398225339982625,0.3386949547453037,-0.8817910376354648,0.8261314922801369,-0.7231405534523447,0.29829514406798807,-0.2148016973444709,0.2303968407213688,0.2398722916841507
13,18,1,digital_ok,1.0,1.0,0.0,3.819385496997202,5.8385922215657615,3.3267499109014986,1.8712830887382497,2.5158193654258074,1.2565620717229384,-1.1525636792511105,17.92107953198528,4.3534698486328125,2.920235335826874
14,23,0,RF_maintenance,1.0,1.0,0.0,48.2374245586463,55.04236957989609,43.73885217551436,36.92938138420343,13.838737293817172,8.147895186982652,763.943594892621,541.4732320925447,1.2057848274707794,1.2109506726264954
15,24,0,RF_maintenance,1.0,1.0,0.0,52.80120903795356,70.12856651609204,43.98337920059382,45.23129268015295,11.36697444153576,21.5699450387993,575.9802213608191,1028.825720753439,1.1964836716651917,1.1965898275375366
16,25,0,RF_maintenance,1.0,1.0,0.0,215.836657594654,221.6350445502302,56.70889341207843,103.10831981017157,7.276862946768588,9.412610293820055,282.7608085196298,518.9309179124302,1.1926256120204926,0.0
17,26,0,RF_maintenance,1.0,1.0,0.0,219.8954263126732,225.13550976151006,64.28385493068596,92.40060517634235,7.926835058015767,13.65342372695783,372.8690838095278,629.3161548489717,1.2304709553718567,0.0
18,27,1,RF_maintenance,1.0,1.0,0.0,6.6374086722854315,14.180428051489407,15.053411102513527,17.526893428035624,1.877577338239026,4.006269497937415,1.6086668627362528,2.353838466264023,3.9639450907707214,1.4147077202796936
