,Ant,Node,A Priori Status,Auto Metrics Flags,Dead Fraction in Ant Metrics (Jee),Dead Fraction in Ant Metrics (Jnn),Crossed Fraction in Ant Metrics,Flag Fraction Before Redcal,Flagged By Redcal chi^2 Fraction,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Average Dead Ant Metric (Jee),Average Dead Ant Metric (Jnn),Average Crossed Ant Metric,Median chi^2 Per Antenna (Jee),Median chi^2 Per Antenna (Jnn)
0,0,0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,88.95036374316943,150.10128334040473,158.05688755837136,195.74753529824358,93.92592587229025,141.34570510096964,854.9700235907667,1354.4303024195813,0.010522625430562966,0.006963288298733564,0.011025625903606447,0.8120181262493134,0.7892437875270844
1,1,0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,135.38745102240424,119.99289413328604,193.5034525361948,151.2018300586727,133.22346629635186,80.22441148581134,1759.6589162274363,865.4159212885611,0.006438515806692729,0.0077279992533958045,0.00858211440447289,1.2634427845478058,1.262359768152237
2,2,0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,85.01781698537754,120.32367816637168,165.03082795102958,161.91376823984265,92.28903390374829,58.03210150650939,1379.320806726212,719.6293016830155,0.007302680459389662,0.007430905636856663,0.0062318116920717734,1.2789514064788818,1.269995629787445
3,3,1,digital_ok,0.0,0.0,0.0,0.0,0.0,0.0,-0.6660718158428826,-1.0046754704067289,0.4437552137052089,1.4295034217741016,0.057366461585518544,0.030717963962917663,0.06543289328950518,0.038203631206009635,0.6420740947536491,0.6335075043018426,0.3421636341735111,0.4834522157907486,0.4164803549647331
4,4,1,RF_maintenance,1.0,0.0,0.0,0.0,1.0,0.0,1.3413870081986403,5.411313947900275,-0.45040498877700863,-0.6541341191640011,0.38360689663606296,1.556638841640558,0.26997136834932534,0.49504757409239347,0.6465578249650009,0.6389934636759395,0.33368579518001973,4.864484548568726,5.593549728393555
5,5,1,digital_ok,0.0,0.0,0.0,0.0,0.0,0.0,-0.2998298794105408,-1.414402136640395,0.13875245741860198,-0.28530689030519485,-1.0817398401711888,-0.6804265037583607,1.4728900230064979,0.7109175731154597,0.6496614485675234,0.6416486446097756,0.3350049382107708,0.27931907773017883,0.22803092375397682
6,11,0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,321.77887621328216,102.3187295297075,183.6362565033766,140.10431906220887,56.973247908339,48.719215321358796,718.8434699273051,644.4250618588322,0.011350767617194163,0.011879368280136138,0.005787184002138714,1.1385899484157562,1.1500452160835266
7,12,0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,83.43244001587335,89.32885084307347,138.1689614303229,130.5097610232378,46.7977986363526,44.81551579185779,521.4458548566291,433.4280601594776,0.01251078001749388,0.012115540919180216,0.002510326177098689,1.1546352207660675,1.1591324210166931
8,13,0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,113.18038793565806,96.70536208428378,166.1361818619452,160.98631453197024,60.51231571640438,93.34277836568967,879.4738602161908,971.030496463853,0.011409811520114367,0.009938410301235255,0.007442494162321757,1.049606829881668,1.0456900000572205
9,14,0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,170.25404352875498,146.5000968328842,174.29129784825395,160.2510788742583,102.33853179281816,92.35041051802853,1083.4123867480569,1027.4100665791718,0.01131004930244027,0.009740480062361938,0.008127939517550954,1.223422348499298,1.2267202734947205
