,Ant,Node,A Priori Status,Auto Metrics Flags,Dead Fraction in Ant Metrics (Jee),Dead Fraction in Ant Metrics (Jnn),Crossed Fraction in Ant Metrics,Flag Fraction Before Redcal,Flagged By Redcal $\chi^2$ Fraction,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Average Dead Ant Metric (Jee),Average Dead Ant Metric (Jnn),Average Crossed Ant Metric,Median $\chi^2$ Per Antenna (Jee),Median $\chi^2$ Per Antenna (Jnn)
0,0,0,digital_ok,1.0,0.0,0.0,0.0,0.0,0.7567567567567568,1.2262523152733247,1.9343204957637454,0.3376067645133637,-0.5520144453711217,6.108515517186434,4.05140527407565,30.90980579379605,27.89671236693107,0.796298848623891,0.7135115495148033,0.43283519541163046,4.020103454589844,2.9794581532478333
1,1,0,digital_ok,1.0,0.0,0.0,0.0,0.0,0.33513513513513515,2.720256328496273,3.603615833772634,-0.2798057478942273,1.1292404347587595,11.465996995384664,2.0801692677846604,9.393466378701435,29.95199837895505,0.7921282997847643,0.7091596500119114,0.4279680967830491,2.284113883972168,1.769223153591156
2,2,0,RF_maintenance,1.0,0.0,0.0,0.0,1.0,0.0,2.9035576573260067,2.8601124736982504,0.6741401491081533,0.8268868966303546,2.593011764256002,4.078125580314299,-0.5940788048553901,16.73122485109209,0.7967571369714977,0.7056246045217085,0.43152678387420057,3.632859945297241,2.9578009247779846
3,11,0,RF_ok,0.0,0.0,0.0,0.0,0.0,0.05945945945945946,1.3629481795703333,0.9697513149709431,1.1469091118988128,-1.0779490281489204,1.3629165773435754,2.1098107102596675,-1.4752351216137438,1.4206994792336514,0.8008367672727367,0.7277000401625495,0.42366372375735156,1.8819240927696228,1.5536545813083649
4,12,0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,31.460818940485055,37.55748031785917,17.476169607094818,18.50859415291598,29.007821008932687,36.38102507332304,8.294921502624588,10.504135712216183,0.056722747621158226,0.056403830723926476,0.001413883244204359,1.4930403232574463,1.4633380770683289
5,13,0,RF_ok,1.0,0.0,0.0,0.0,0.8648648648648649,0.0,-0.36105232188277786,4.061888317823256,-0.6108051997105765,6.8139277982645154,2.290713109464697,17.277259669003776,14.20352362390104,-5.278194711910044,0.7910503339636992,0.715393907121489,0.41448003180768894,2.7855576872825623,2.48622065782547
6,14,0,digital_ok,1.0,0.0,0.0,0.0,0.0,0.0,1.221138482037183,3.5198924312174533,-0.20017921329358898,3.346081196464933,-1.0652735936969608,0.1390087421424753,1.182169480729491,9.562114987223449,0.7942338942091133,0.710570627680694,0.419293494462859,1.6702340841293335,1.5182944238185883
7,23,0,RF_maintenance,1.0,0.7368421052631579,0.09129967776584318,0.0,1.0,0.0,23.782909091041727,14.13723867992404,17.082602385561454,15.361908201029932,25.24558515301882,17.199249846361493,9.493174208555457,4.785030385452625,0.3153067410226775,0.5224691334799795,0.4178631624596239,1.3792002499103546,1.749156892299652
8,24,0,RF_maintenance,1.0,0.0,0.0,0.0,1.0,0.0,-0.09573855528934971,5.20228832010312,-0.7612349243290869,0.5825975829977238,-0.5620774871404466,3.5746465541884187,3.4092354997331618,0.366485331400424,0.8018547786995218,0.7180795582102588,0.40890344338182855,2.6046380400657654,2.3221226930618286
9,25,0,digital_ok,1.0,0.0,0.0,0.0,0.0,0.2972972972972973,2.8832185837751316,1.704198793118161,-0.3822234748695585,-1.0822261014946732,0.6051587003301988,5.883992474374217,4.395283667689321,-0.34522805836939024,0.7919101260566463,0.7322795064713631,0.40350812033571887,2.055377423763275,1.6913468539714813
10,26,0,digital_ok,1.0,0.0,0.0,0.0,0.0,0.05405405405405406,3.832315854639736,3.368489611610782,-0.3774416960991842,-0.5552641484089966,4.349825112345033,2.3052774553155,14.786783868880196,8.758918716412168,0.7892704975801283,0.7228034034672809,0.40767383562587733,1.811802625656128,1.511003315448761
11,36,3,digital_ok,0.0,0.0,0.0,0.0,0.0,0.0,0.8759593336298593,-0.47153534493167953,0.8245627912412454,-0.18575624985186676,1.2695239009352022,1.3809261050415151,-0.9349690179446921,1.0423632045710745,0.8045098848172563,0.7400876443832585,0.41569966638045547,0.5754165351390839,0.519717812538147
12,37,3,RF_maintenance,1.0,0.0,1.0,0.0,1.0,0.0,-0.4884750784640597,43.007838639064076,0.4378761027153888,22.18923761452804,-0.2536396849124517,34.38066750876132,-0.6937619274465662,21.438750693322387,0.8071856702743623,0.037709310407343676,0.739709954868822,2.368257999420166,1.2020663619041443
13,38,3,RF_maintenance,1.0,0.0,1.0,0.0,1.0,0.0,1.020959634057019,47.16129018728346,-0.6853468865984352,22.175339416985288,0.43781601731195063,34.32060298967391,0.5621844412656781,27.123446003489267,0.8077606047127381,0.03675444508962768,0.7359032050269397,2.571746289730072,1.176425576210022
14,39,0,digital_ok,1.0,0.0,0.0,0.0,0.0,0.8432432432432433,0.5353159518400855,1.694667352856327,-0.7117993198534347,0.0949089388179751,2.9003944716898102,-0.10237606308300051,20.213754474001185,-1.0107289035610467,0.8027291728389138,0.732895585320781,0.4013694734076919,3.616643786430359,2.470941662788391
15,44,5,digital_ok,1.0,0.0,0.0,0.0,0.0,0.0,0.6852671352642042,0.5903003125323252,-0.645532180147684,-0.41830777585531553,0.983193686997188,0.911666867446577,1.1049139420793441,6.833714351172254,0.7824585408336056,0.7239524464357165,0.4311989262307073,0.9068032056093216,0.8165061324834824
16,45,5,digital_ok,1.0,0.0,0.0,0.0,0.0,0.0,32.838268331352076,2.201639886320704,0.5389063228074311,0.0446300090512843,17.888754995612747,0.3948937062791049,2.7981225485263623,1.6323619533806284,0.7133012357320284,0.7135070280848986,0.42869488975970893,1.129863202571869,0.9077973812818527
17,46,5,RF_ok,1.0,0.0,0.0,0.0,0.0,0.0,-0.49561953454947333,-1.288948107198863,0.6905446349493027,0.48511874654106296,0.4865863737339088,-0.23654946065441398,1.355344868366258,7.838653389480442,0.770575359210448,0.7104451918437389,0.4446255527363735,1.0362743735313416,0.90885229408741
